reviews.rating,reviews.text,reviews_year
4.0,"Hotel is in the perfect spot at the perfect price with the not so perfect view. Expedia rep said that it was facing the water and in a way it was but at a 45 degree angel past the parking lot and a few other obstructions. You have to stretch your neck at the furthest corner of the window to gain a peak. But it was still good though. The room sleeps like nobody's business. Once your head hits the pillows its light out. What I did not like was the front desk personnel. They really did not like there job and it showed. No eye contact, no smiles, no small talk, and what really disturbed me was at check in when I was told to sign this that's how it was put. I was like what is it Just sign - its nothing. Sir What am I signing. Oh if you have a party and smoke we can charge you 250.00(eyes still on monitor). Well sir. Tell me that. Next. Came back later that night to get snacks out of the cupboard. Over priced but I expected that but the person at the front desk was lifeless and didn't not even give me a total. She just says. Its charged to your room and kept staring at her monitor(again the monitor). WOW. But what makes up for some of the small inconsistencies is that fact that the water is in walking distance. The Ferris wheel is right there and Gaylord Hotel is right across the street. Good energy in the area and great spots to eat(Redstone) . Cant wait to visit again. Thanks for the snacks!",2018
4.6,"Bad: Timing seemed to be off. Had to wait a very long time for breakfast, longer than people who had come in after us. Had to wait a very long time for the valet to bring our car, seemed to be some kind of communication issue. They were nice about it, and so were we, but it seemed to be a theme, which was a bit of a disappointment. Good: Nicely appointed room, great location.",2018
4.8,"Good: I loved the quirkiness and style of the hotel. The staff were so friendly and accommodating. The drinks at the bar were top notch and the price for the location was unbeatable. And the bed, the bed was perfect. I slept like a baby.",2018
5.0,Bad: This is really not a reflection on the hotel but the valet parking does take a long time to retrieve your car. They tell you to allow 30 minutes and you really need to do that. Good: Friendly staff. Clean rooms.,2018
5.0,"Good: Perfection - beautiful rooms, comfortable beds, great style. Centrally located for all the fun things in downtown Boston.",2018
4.6,"Bad: I think the hotel could do more to promote the on site restaurant with newly arrived guests. My husband tried it and thought the food was great but if there'd been a deal or something to catch our attention I'm sure we'd have eaten breakfast there both mornings of our stay. I also think that although the space inside the rooms seems to be well used that there are some practical challenges with storage where existing space could be better used for the ease and comfort of guests. Good: Very comfortable beds. Not massive but cosy and we all slept well. The linens were clean and fresh and we enjoyed the L'Occitane products in the bathroom. The staff were friendly, kind and helpful.",2018
4.15,"Bad: The minibar and the heating were noisy, but it didn't really disrupt our sleep. Breakfast was good, but perhaps the avocado toast was a bit small for the price. Good: The staff were all friendly and professional. Our room was clean and warm (it was cold out!) and had everything we needed. The drinks and food were very good, especially the Finch burger and the crab bennies at breakfast. Overall, we really liked the feel of the hotel and would definitely stay again, especially if we were going out of North Station again which is just around the corner.",2018
2.9,Bad: Just want to say paying 330 for one night would have been nice too get breakfast included in the price. . Good: At least it wasnt too far from TD garden.,2018
4.4,Good: Perfect location if you're attending an even at the Garden. Very short walk,2018
2.5,"Bad: The place was falling apart, the tub was cracked and broken. the bathroom shelf was barely holding on. The bed was extremely tough to sleep on. Good: I liked that it was close to entertainment. The shower held a hot water temperature for a long time.",2018
5.0,Bad: I lost roulette. Good: Buffet bb,2018
2.9,Bad: No business center..wifi wasnt free..it asked for ten bucks...the internet kiosk was 650 for 30 mins..but deducted 20 mins to print boarding passes and no shuttle to airport. Good: Location,2018
3.35,"Bad: I was in room 314, and its very noisy at night with the street ambiance, so dont expect to sleep before 2AM. I had to take my breakfast to adjacent hotels as continental / seated proper breakfast was not available (or couldnt find it...). Good: The bed was confortable and the location is just amazing on Fremont street.",2018
4.6,Bad: There's nothing not to like here. Though the maid service was good but they are kind of early to knock at the door for cleaning service. They're there at 8am and we were still in dreamland that we were forced to get up and open the door to talk to them to clean later. Good: We love our very spacious room though we didn't have a single king sized bed. They gave us twin beds but it's fine. The Garden court buffet was also great! It was very affordable. We almost eat there everyday because of its price. Please keep it that way.,2018
3.95,"Bad: The bed was stiff and valet parking only. Wifi is pay only and didn't live up to the speed expectations as advertised. Good: The location is great, easy access to all of Fremont area with a short walk. Not being a giant casino you don't have to walk far from the car or through the place to get out.",2018
4.6,"Good: The hotel is really beautiful! A little old, but clean and comfortable. The price is also good.",2018
4.8,Bad: Shower Tub clogged. Good: Convenient location. Reasonable food prices. Awesome selection of cuisine. Helpful staff!,2018
3.15,Bad: The shower didnt drain. The pillows were horrible. My feet stuck to the carpet in the room. Good: Location,2018
3.55,Bad: The ventilation system was not adequate for the building. Everything including room smelled like cigarette smoke. Good: restaurant,2018
4.8,"Good: The location was easily accessible to any downtown activities and the strip, we went to the pinball neon museum and the fremont street experience in one day. It was great",2018
2.5,"Bad: Old outdated rooms, even though its a classic hotel does not mean they dont have to put forth effort to modernize rooms. Good: Was right in Fremont street",2018
4.4,"Bad: Street noise. Good: Decor, table games, dining",2018
5.0,Bad: Breakfast was missing protein. Only bagels and donuts. Good: Location! Location! Location!,2018
5.0,Good: Location is fabulous. Got there very early and was able to check in! Room was clean and modern. Love this hotel!,2018
2.7,Bad: Size of room. Good: Leaving,2018
4.15,Bad: The breakfast is nothing special. Parking is 30 per each 24Hrs.,2018
